codigo;nombre;referencia;categoria;subcategoria;ubicacion;stock;stock_min;unidad;proveedor;coste_unitario;notas;__source;qr_id;qr_url;etiqueta_pdf;actualizado
AAM10;Arandela ancha M10;AAM10;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AAM10;#inventario?qr=AAM10;;2025-10-08T06:06:24Z
AAM12;Arandela ancha M12;AAM12;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AAM12;#inventario?qr=AAM12;;2025-10-08T06:06:24Z
AAM14;Arandela ancha M14;AAM14;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AAM14;#inventario?qr=AAM14;;2025-10-08T06:06:24Z
AAM16;Arandela ancha M16;AAM16;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AAM16;#inventario?qr=AAM16;;2025-10-08T06:06:24Z
AAM18;Arandela ancha M18;AAM18;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AAM18;#inventario?qr=AAM18;;2025-10-08T06:06:24Z
AAM20;Arandela ancha M20;AAM20;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AAM20;#inventario?qr=AAM20;;2025-10-08T06:06:24Z
AAM22;Arandela ancha M22;AAM22;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AAM22;#inventario?qr=AAM22;;2025-10-08T06:06:24Z
AAM24;Arandela ancha M24;AAM24;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AAM24;#inventario?qr=AAM24;;2025-10-08T06:06:24Z
AAM4;Arandela ancha M4;AAM4;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AAM4;#inventario?qr=AAM4;;2025-10-08T06:06:24Z
AAM5;Arandela ancha M5;AAM5;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AAM5;#inventario?qr=AAM5;;2025-10-08T06:06:24Z
AAM6;Arandela ancha M6;AAM6;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AAM6;#inventario?qr=AAM6;;2025-10-08T06:06:24Z
AAM8;Arandela ancha M8;AAM8;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AAM8;#inventario?qr=AAM8;;2025-10-08T06:06:24Z
AEM10;Arandela estrecha M10;AEM10;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AEM10;#inventario?qr=AEM10;;2025-10-08T06:06:24Z
AEM12;Arandela estrecha M12;AEM12;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AEM12;#inventario?qr=AEM12;;2025-10-08T06:06:24Z
AEM14;Arandela estrecha M14;AEM14;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AEM14;#inventario?qr=AEM14;;2025-10-08T06:06:24Z
AEM16;Arandela estrecha M16;AEM16;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AEM16;#inventario?qr=AEM16;;2025-10-08T06:06:24Z
AEM18;Arandela estrecha M18;AEM18;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AEM18;#inventario?qr=AEM18;;2025-10-08T06:06:24Z
AEM20;Arandela estrecha M20;AEM20;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AEM20;#inventario?qr=AEM20;;2025-10-08T06:06:24Z
AEM22;Arandela estrecha M22;AEM22;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AEM22;#inventario?qr=AEM22;;2025-10-08T06:06:24Z
AEM24;Arandela estrecha M24;AEM24;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AEM24;#inventario?qr=AEM24;;2025-10-08T06:06:24Z
AEM4;Arandela estrecha M4;AEM4;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AEM4;#inventario?qr=AEM4;;2025-10-08T06:06:24Z
AEM5;Arandela estrecha M5;AEM5;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AEM5;#inventario?qr=AEM5;;2025-10-08T06:06:24Z
AEM6;Arandela estrecha M6;AEM6;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AEM6;#inventario?qr=AEM6;;2025-10-08T06:06:24Z
AEM8;Arandela estrecha M8;AEM8;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AEM8;#inventario?qr=AEM8;;2025-10-08T06:06:24Z
AGM10;Arandela gruesa M10;AGM10;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AGM10;#inventario?qr=AGM10;;2025-10-08T06:06:24Z
AGM12;Arandela gruesa M12;AGM12;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AGM12;#inventario?qr=AGM12;;2025-10-08T06:06:24Z
AGM14;Arandela gruesa M14;AGM14;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AGM14;#inventario?qr=AGM14;;2025-10-08T06:06:24Z
AGM16;Arandela gruesa M16;AGM16;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AGM16;#inventario?qr=AGM16;;2025-10-08T06:06:24Z
AGM18;Arandela gruesa M18;AGM18;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AGM18;#inventario?qr=AGM18;;2025-10-08T06:06:24Z
AGM20;Arandela gruesa M20;AGM20;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AGM20;#inventario?qr=AGM20;;2025-10-08T06:06:24Z
AGM22;Arandela gruesa M22;AGM22;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AGM22;#inventario?qr=AGM22;;2025-10-08T06:06:24Z
AGM24;Arandela gruesa M24;AGM24;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AGM24;#inventario?qr=AGM24;;2025-10-08T06:06:24Z
AGM4;Arandela gruesa M4;AGM4;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AGM4;#inventario?qr=AGM4;;2025-10-08T06:06:24Z
AGM5;Arandela gruesa M5;AGM5;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AGM5;#inventario?qr=AGM5;;2025-10-08T06:06:24Z
AGM6;Arandela gruesa M6;AGM6;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AGM6;#inventario?qr=AGM6;;2025-10-08T06:06:24Z
AGM8;Arandela gruesa M8;AGM8;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;AGM8;#inventario?qr=AGM8;;2025-10-08T06:06:24Z
TAM10x100;Tornillo Allen M10x100mm;TAM10x100;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM10x100;#inventario?qr=TAM10x100;;2025-10-08T06:06:24Z
TAM10x10;Tornillo Allen M10x10mm;TAM10x10;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM10x10;#inventario?qr=TAM10x10;;2025-10-08T06:06:24Z
TAM10x110;Tornillo Allen M10x110mm;TAM10x110;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM10x110;#inventario?qr=TAM10x110;;2025-10-08T06:06:24Z
TAM10x120;Tornillo Allen M10x120mm;TAM10x120;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM10x120;#inventario?qr=TAM10x120;;2025-10-08T06:06:24Z
TAM10x130;Tornillo Allen M10x130mm;TAM10x130;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM10x130;#inventario?qr=TAM10x130;;2025-10-08T06:06:24Z
TAM10x140;Tornillo Allen M10x140mm;TAM10x140;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM10x140;#inventario?qr=TAM10x140;;2025-10-08T06:06:24Z
TAM10x150;Tornillo Allen M10x150mm;TAM10x150;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM10x150;#inventario?qr=TAM10x150;;2025-10-08T06:06:24Z
TAM10x15;Tornillo Allen M10x15mm;TAM10x15;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM10x15;#inventario?qr=TAM10x15;;2025-10-08T06:06:24Z
TAM10x160;Tornillo Allen M10x160mm;TAM10x160;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM10x160;#inventario?qr=TAM10x160;;2025-10-08T06:06:24Z
TAM10x20;Tornillo Allen M10x20mm;TAM10x20;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM10x20;#inventario?qr=TAM10x20;;2025-10-08T06:06:24Z
TAM10x25;Tornillo Allen M10x25mm;TAM10x25;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM10x25;#inventario?qr=TAM10x25;;2025-10-08T06:06:24Z
TAM10x30;Tornillo Allen M10x30mm;TAM10x30;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM10x30;#inventario?qr=TAM10x30;;2025-10-08T06:06:24Z
TAM10x35;Tornillo Allen M10x35mm;TAM10x35;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM10x35;#inventario?qr=TAM10x35;;2025-10-08T06:06:24Z
TAM10x40;Tornillo Allen M10x40mm;TAM10x40;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM10x40;#inventario?qr=TAM10x40;;2025-10-08T06:06:24Z
TAM10x45;Tornillo Allen M10x45mm;TAM10x45;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM10x45;#inventario?qr=TAM10x45;;2025-10-08T06:06:24Z
TAM10x50;Tornillo Allen M10x50mm;TAM10x50;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM10x50;#inventario?qr=TAM10x50;;2025-10-08T06:06:24Z
TAM10x55;Tornillo Allen M10x55mm;TAM10x55;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM10x55;#inventario?qr=TAM10x55;;2025-10-08T06:06:24Z
TAM10x60;Tornillo Allen M10x60mm;TAM10x60;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM10x60;#inventario?qr=TAM10x60;;2025-10-08T06:06:24Z
TAM10x65;Tornillo Allen M10x65mm;TAM10x65;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM10x65;#inventario?qr=TAM10x65;;2025-10-08T06:06:24Z
TAM10x70;Tornillo Allen M10x70mm;TAM10x70;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM10x70;#inventario?qr=TAM10x70;;2025-10-08T06:06:24Z
TAM10x75;Tornillo Allen M10x75mm;TAM10x75;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM10x75;#inventario?qr=TAM10x75;;2025-10-08T06:06:24Z
TAM10x80;Tornillo Allen M10x80mm;TAM10x80;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM10x80;#inventario?qr=TAM10x80;;2025-10-08T06:06:24Z
TAM10x85;Tornillo Allen M10x85mm;TAM10x85;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM10x85;#inventario?qr=TAM10x85;;2025-10-08T06:06:24Z
TAM10x90;Tornillo Allen M10x90mm;TAM10x90;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM10x90;#inventario?qr=TAM10x90;;2025-10-08T06:06:24Z
TAM10x95;Tornillo Allen M10x95mm;TAM10x95;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM10x95;#inventario?qr=TAM10x95;;2025-10-08T06:06:24Z
TAM12x100;Tornillo Allen M12x100mm;TAM12x100;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM12x100;#inventario?qr=TAM12x100;;2025-10-08T06:06:24Z
TAM12x10;Tornillo Allen M12x10mm;TAM12x10;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM12x10;#inventario?qr=TAM12x10;;2025-10-08T06:06:24Z
TAM12x110;Tornillo Allen M12x110mm;TAM12x110;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM12x110;#inventario?qr=TAM12x110;;2025-10-08T06:06:24Z
TAM12x120;Tornillo Allen M12x120mm;TAM12x120;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM12x120;#inventario?qr=TAM12x120;;2025-10-08T06:06:24Z
TAM12x130;Tornillo Allen M12x130mm;TAM12x130;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM12x130;#inventario?qr=TAM12x130;;2025-10-08T06:06:24Z
TAM12x140;Tornillo Allen M12x140mm;TAM12x140;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM12x140;#inventario?qr=TAM12x140;;2025-10-08T06:06:24Z
TAM12x150;Tornillo Allen M12x150mm;TAM12x150;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM12x150;#inventario?qr=TAM12x150;;2025-10-08T06:06:24Z
TAM12x15;Tornillo Allen M12x15mm;TAM12x15;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM12x15;#inventario?qr=TAM12x15;;2025-10-08T06:06:24Z
TAM12x160;Tornillo Allen M12x160mm;TAM12x160;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM12x160;#inventario?qr=TAM12x160;;2025-10-08T06:06:24Z
TAM12x20;Tornillo Allen M12x20mm;TAM12x20;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM12x20;#inventario?qr=TAM12x20;;2025-10-08T06:06:24Z
TAM12x25;Tornillo Allen M12x25mm;TAM12x25;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM12x25;#inventario?qr=TAM12x25;;2025-10-08T06:06:24Z
TAM12x30;Tornillo Allen M12x30mm;TAM12x30;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM12x30;#inventario?qr=TAM12x30;;2025-10-08T06:06:24Z
TAM12x35;Tornillo Allen M12x35mm;TAM12x35;None;None;;0.0;20.0;None;None;;;INVENTARIO_QR_Mario.xlsx;TAM12x35;#inventario?qr=TAM12x35;;2025-10-08T06:06:24Z
